id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,pengeluaran_per_kapita,satuan,tahun
322,32,JAWA BARAT,3201,KABUPATEN BOGOR,10860.0,RIBU RUPIAH/ORANG/TAHUN,2022
323,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,9210.0,RIBU RUPIAH/ORANG/TAHUN,2022
324,32,JAWA BARAT,3203,KABUPATEN CIANJUR,8244.0,RIBU RUPIAH/ORANG/TAHUN,2022
325,32,JAWA BARAT,3204,KABUPATEN BANDUNG,10588.0,RIBU RUPIAH/ORANG/TAHUN,2022
326,32,JAWA BARAT,3205,KABUPATEN GARUT,8227.0,RIBU RUPIAH/ORANG/TAHUN,2022
327,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,8177.0,RIBU RUPIAH/ORANG/TAHUN,2022
328,32,JAWA BARAT,3207,KABUPATEN CIAMIS,9428.0,RIBU RUPIAH/ORANG/TAHUN,2022
329,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,9620.0,RIBU RUPIAH/ORANG/TAHUN,2022
330,32,JAWA BARAT,3209,KABUPATEN CIREBON,10791.0,RIBU RUPIAH/ORANG/TAHUN,2022
331,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,9950.0,RIBU RUPIAH/ORANG/TAHUN,2022
332,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,10776.0,RIBU RUPIAH/ORANG/TAHUN,2022
333,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,10166.0,RIBU RUPIAH/ORANG/TAHUN,2022
334,32,JAWA BARAT,3213,KABUPATEN SUBANG,11294.0,RIBU RUPIAH/ORANG/TAHUN,2022
335,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,12193.0,RIBU RUPIAH/ORANG/TAHUN,2022
336,32,JAWA BARAT,3215,KABUPATEN KARAWANG,11927.0,RIBU RUPIAH/ORANG/TAHUN,2022
337,32,JAWA BARAT,3216,KABUPATEN BEKASI,11757.0,RIBU RUPIAH/ORANG/TAHUN,2022
338,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,9044.0,RIBU RUPIAH/ORANG/TAHUN,2022
339,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,9389.0,RIBU RUPIAH/ORANG/TAHUN,2022
340,32,JAWA BARAT,3271,KOTA BOGOR,12058.0,RIBU RUPIAH/ORANG/TAHUN,2022
341,32,JAWA BARAT,3272,KOTA SUKABUMI,11229.0,RIBU RUPIAH/ORANG/TAHUN,2022
342,32,JAWA BARAT,3273,KOTA BANDUNG,17639.0,RIBU RUPIAH/ORANG/TAHUN,2022
343,32,JAWA BARAT,3274,KOTA CIREBON,12087.0,RIBU RUPIAH/ORANG/TAHUN,2022
344,32,JAWA BARAT,3275,KOTA BEKASI,16239.0,RIBU RUPIAH/ORANG/TAHUN,2022
345,32,JAWA BARAT,3276,KOTA DEPOK,15926.0,RIBU RUPIAH/ORANG/TAHUN,2022
346,32,JAWA BARAT,3277,KOTA CIMAHI,12500.0,RIBU RUPIAH/ORANG/TAHUN,2022
347,32,JAWA BARAT,3278,KOTA TASIKMALAYA,10578.0,RIBU RUPIAH/ORANG/TAHUN,2022
348,32,JAWA BARAT,3279,KOTA BANJAR,10967.0,RIBU RUPIAH/ORANG/TAHUN,2022
